Player,TEAM,AGE,GP,W,L,MIN,DEF RTG,DREB,DREB%,%DREB,STL,STL%,BLK,%BLK,OPP PTS OFF TOV,OPP PTS 2ND CHANCE,OPP PTS FB,OPP PTS PAINT,DEF WS
James Bouknight,CHA,23,14,0,14,5.8,115.2,0.6,11.8,18.6,0.1,10,0.1,16.7,2.1,1.9,1.3,5.7,0.014
Joe Harris,DET,32,16,4,12,10.6,119.4,0.6,5.7,9.6,0.2,13.6,0.1,8.7,4.7,4.1,2.6,12.3,0.013
D.J. Wilson,PHI,28,2,1,1,7.7,117.2,0.5,7.1,11.1,0,0,1,100,1,2,1,10,0.013
Jermaine Samuels Jr.,HOU,25,14,8,6,4.3,114,0.7,16.7,22.7,0.1,12.5,0.1,28.6,1.1,1.1,1.2,4.7,0.013
Boban Marjanovi?,HOU,35,14,9,5,5.1,115.3,1.8,30.9,43.9,0.1,9.1,0.1,28.6,2.1,1.1,2.1,4.4,0.013
Moses Brown,POR,24,22,4,18,9.1,118.9,2.2,25.4,36.6,0.2,19.2,0.3,41.2,4.2,1.5,3,9,0.013
E.J. Liddell,NOP,23,8,3,5,2.9,109.8,0.6,21.7,35.7,0.3,33.3,0.3,66.7,1.4,1.4,0.8,3.3,0.012
Andre Jackson Jr.,MIL,22,57,33,24,10,119.6,1.2,12.7,18.8,0.3,20.8,0.1,10.9,3.4,3.1,2.8,11.2,0.012
Doug McDermott,IND,32,64,22,42,14.1,120.9,0.8,5.4,8.2,0.3,12.9,0,1.9,4.7,4.7,4.2,15.6,0.011
Alondes Williams,MIA,25,7,5,2,2.2,110.5,0.1,6.7,10,0,0,0.1,100,2,0.7,2.1,2.6,0.01
Tyus Jones,WAS,28,66,11,55,29.3,122.5,2.4,8.1,12.9,1.1,23.4,0.3,7.9,10.1,10.8,10.1,38.6,0.01
AJ Griffin,ATL,20,20,8,12,8.5,120.1,0.8,10.8,15.1,0.1,3.6,0.1,13.3,3.3,1.9,2.6,10.1,0.009
Terquavion Smith,PHI,21,16,8,8,5.3,118.4,0.3,4.9,7.8,0.5,34.8,0,0,2.5,2.1,1.9,6.1,0.009
Robin Lopez,MIL,36,16,10,6,4,115.9,0.1,3,5,0.1,10,0.2,75,1.6,1.9,1.3,3.6,0.009
Chris Livingston,MIL,20,21,13,8,4.3,116.8,0.9,22.2,29.5,0.1,14.3,0,0,2.5,1.2,1.2,3.8,0.009
Danny Green,PHI,37,2,1,1,9.2,120.5,1,11.1,15.4,0.5,50,0,0,4,2.5,2.5,9,0.009
Theo Maledon,PHX,23,17,5,12,12.5,121.6,1.2,9.3,14.1,0.4,23.3,0,0,6.4,3,4.2,12,0.008
Jalen Slawson,SAC,24,12,8,4,3.1,114.9,0.5,16.2,28.6,0.1,33.3,0.1,25,2.1,1.1,0.8,3.5,0.007
Frank Ntilikina,CHA,25,5,0,5,8.6,121.1,1,11.1,15.6,0,0,0,0,2.6,2.6,1.6,10.4,0.007
Colin Castleton,LAL,24,16,9,7,3.7,117.6,0.4,11.8,20,0.1,18.2,0,0,1.3,1.4,1,4.3,0.006
Jacob Toppin,NYK,24,9,2,7,4.2,118.4,0.4,14.8,20,0,0,0.1,50,2.3,0.6,1.6,3.3,0.006
Taze Moore,POR,26,4,1,3,10.1,122.2,1,10.8,18.2,0.5,18.2,0,0,3.8,4.3,4.3,10.5,0.005
Jordan Miller,LAC,24,8,5,3,3.5,119.7,0.3,5.7,11.8,0,0,0,0,2,2.1,1.8,5.3,0.004
Moussa Diabate,LAC,22,11,7,4,5.8,121.1,0.8,12.9,25,0.5,50,0.1,25,3.4,2.3,1.3,5.5,0.004
D.J. Carton,TOR,23,4,2,2,8.9,122.8,0.5,4.3,9.5,0.3,20,0,0,3.5,7.5,0.5,10.5,0.002
Usman Garuba,GSW,22,6,5,1,3,121.1,0.7,21.1,36.4,0.2,50,0.5,75,1.8,1,2,3,0.002
Isaiah Wong,IND,23,1,1,0,4.3,122.2,0,0,0,0,0,0,0,2,0,0,6,0.002
Shaquille Harrison,MEM,30,3,1,2,2,121.4,0.7,40,50,0,0,0.3,100,0,0.3,1,2.7,0.001
Brice Sensabaugh,UTA,20,32,8,24,18.3,123.5,2.7,15.1,22.5,0.4,18.1,0.2,10.5,8.1,5.3,7.7,20,0.001
Harry Giles III,LAL,26,23,11,12,4.3,123.3,0.8,17.8,30.5,0.1,16.7,0.1,37.5,1.4,1.6,1.7,4.6,0.001
Emoni Bates,CLE,20,15,8,7,8.9,124,0.9,11,18.1,0.1,5.9,0.1,22.2,4.3,2.7,3.4,7.6,-0.001
Lindell Wigginton,MIL,26,3,3,0,2.5,131.3,0,0,0,0,0,0,0,2.7,1.7,3.3,4,-0.005
Udoka Azubuike,PHX,24,16,12,4,7.1,126.5,1.3,16.9,27.3,0.1,8.3,0.4,30,3.9,2.9,1.9,6.8,-0.006
Darius Bazley,UTA,24,9,2,7,16.9,125.2,2.2,13.2,23.3,0.7,28.6,0.8,46.7,4.8,6.3,6.1,21.3,-0.007
Javonte Smart,PHI,25,1,1,0,0.7,150,0,0,0,0,0,0,0,0,3,0,0,-0.007
Isaiah Thomas,PHX,35,6,4,2,3.2,133.3,0,0,0,0,0,0,0,0.8,2.3,0.7,4.3,-0.009
Kevon Harris,ORL,27,2,1,1,3,133.3,1,28.6,40,0,0,0,0,1,2,1,4,-0.01
Isaiah Livers,DET,25,23,1,22,20.4,125.4,1.4,7.3,11.5,0.6,19.1,0.2,13.5,8.1,6.8,5.8,24.5,-0.01
Alex Fudge,DAL,21,6,1,5,6.7,129.1,0.2,2.9,4.5,0.5,42.9,0,0,4.7,2.2,2.2,7,-0.01
D'Moi Hodge,LAL,25,7,1,6,5.9,130.6,0,0,0,0.1,14.3,0.1,25,4,3.1,0.9,7.1,-0.011
Keon Johnson,BKN,22,5,0,5,12.3,134.4,0.8,7.8,14.3,0.6,30,0.2,50,2.2,5,4.8,14.8,-0.038
Ty Jerome,CLE,26,2,1,1,7.4,143.8,0,0,0,0,0,0,0,3.5,2,5.5,12,-0.045
Ron Harper Jr.,TOR,24,1,1,0,3.7,188.9,0,0,0,0,0,0,0,5,5,1,10,-0.08
Dariq Whitehead,BKN,19,2,1,1,12,153.7,2,19,28.6,0,0,0.5,50,1.5,7,3.5,14,-0.113
