Player,TEAM,AGE,GP,W,L,MIN,DEF RTG,DREB,DREB%,%DREB,STL,STL%,BLK,%BLK,OPP PTS OFF TOV,OPP PTS 2ND CHANCE,OPP PTS FB,OPP PTS PAINT,DEF WS
Chris Paul,GSW,39,58,33,25,26.4,111,3.6,12.6,19.3,1.2,29.3,0.1,4.6,8.8,8.2,6.9,26,0.095
Tre Jones,SAS,24,77,21,56,27.8,111.8,3,10.4,15.1,1,23.2,0.1,3,10.6,8.1,7.7,31.4,0.094
Grayson Allen,PHX,28,75,45,30,33.5,113.9,3.3,9.4,14,0.9,18.5,0.6,15.3,12.6,9.8,9.8,35.6,0.094
Naji Marshall,NOP,26,66,41,25,19,106.8,2.8,14.2,21.2,0.7,21.1,0.2,11.3,6,5.2,5.6,17.7,0.094
Mikal Bridges,BKN,27,82,32,50,34.8,114.3,3.7,10.5,15.6,1,20.9,0.4,9.3,10.7,10.1,11.4,35.4,0.093
Gary Harris,ORL,29,54,35,19,24,110.3,1.2,5.5,7.9,0.9,22,0.3,10.3,7.5,6.6,6.7,23.7,0.093
Eric Gordon,PHX,35,68,41,27,27.8,112.2,1.6,5.2,8,1,22.1,0.4,11.8,10.8,8.6,8.1,29.1,0.093
D'Angelo Russell,LAL,28,76,46,30,32.7,113.9,2.7,7.9,11.6,0.9,18.1,0.5,12,10.3,10.4,10.6,35.8,0.092
De'Anthony Melton,PHI,26,38,25,13,26.9,112,3,11.1,16.6,1.6,31.7,0.4,11.9,8,6.9,8.3,29.9,0.092
Sidy Cissoko,SAS,20,12,5,7,11.7,97.1,1.2,8.2,12.1,0.6,28,0.3,21.4,4.9,4.2,3.8,11.8,0.092
Brandin Podziemski,GSW,21,74,41,33,26.6,111.6,4.2,14.9,21.5,0.8,21.6,0.2,7.4,9.2,7.9,7.8,26.6,0.092
Payton Pritchard,BOS,26,82,64,18,22.3,109.2,2.4,10.3,15.2,0.5,15.5,0.1,2.6,6,5.9,5.6,22.2,0.091
GG Jackson,MEM,19,48,14,34,25.7,111.4,3,11.4,17.7,0.6,12.2,0.5,16,10.8,7.7,9.2,27.1,0.091
Jaren Jackson Jr.,MEM,24,66,22,44,32.2,113.9,4.2,13.2,20.1,1.2,22.2,1.6,37.1,11.3,9.6,10.1,31.4,0.091
T.J. Warren,MIN,30,11,7,4,11.3,97.4,1.5,13.2,17.7,0.4,16,0.1,7.7,3.3,2.3,3.8,12.5,0.09
Markelle Fultz,ORL,26,43,25,18,21.2,109,1.9,9.4,13.6,1,23.9,0.3,21.4,6.7,5.6,6.3,21.1,0.09
Jordan Walsh,BOS,20,9,9,0,9.3,90.2,1.7,15.3,20.8,0.6,26.3,0.1,9.1,1.8,2.2,3.3,6.9,0.09
Jabari Smith Jr.,HOU,21,76,39,37,31.9,113.8,6.3,19.1,28.5,0.7,14.9,0.8,28.8,9.5,9.3,7.4,32.3,0.09
Jalen Green,HOU,22,82,41,41,31.7,113.8,4.7,14.3,21.1,0.8,17.1,0.3,12.6,9.6,9.3,7.9,32.7,0.089
Dillon Brooks,HOU,28,72,36,36,30.9,113.6,2.7,8.4,12.7,0.9,18.7,0.1,5,10,9.1,7,31.1,0.089
Josh Giddey,OKC,21,80,56,24,25.1,111.5,5,19,29,0.7,15.8,0.6,14.9,7.4,8.3,6.8,25.6,0.089
Larry Nance Jr.,NOP,31,61,34,27,19.9,108.4,3.5,17.6,26.1,1,26.5,0.3,18.6,6.7,4.9,5.6,19,0.088
Toumani Camara,POR,24,70,19,51,24.8,111.5,2.9,11.9,18.2,0.9,22.7,0.5,22.1,9.8,7.1,8.8,26.5,0.088
Jonathan Kuminga,GSW,21,74,40,34,26.3,112.2,3.6,12.6,18.6,0.7,18.6,0.5,18.8,8.8,7.5,8,27.7,0.088
Nikola Jovi?,MIA,21,46,24,22,19.5,107.9,3.6,18.6,26.1,0.5,16.9,0.3,20.9,6,5.6,4.7,19.4,0.088
Cole Anthony,ORL,24,81,47,34,22.4,110,3,14,21.4,0.8,21.4,0.5,18,7.7,5.8,6.3,21.8,0.088
Haywood Highsmith,MIA,27,66,39,27,20.7,109,2.2,10.7,15.6,0.8,24.1,0.5,28.8,7.4,5.8,5.8,19.5,0.087
Isaiah Joe,OKC,24,78,54,24,18.5,107.5,1.9,9.8,15.3,0.6,17.3,0.3,12.9,6.2,5.6,4.2,16.8,0.087
Jae'Sean Tate,HOU,28,65,32,33,15.9,105,2.1,12.7,18.1,0.6,21.6,0.2,16,4.6,4.5,3.6,15,0.087
Devin Vassell,SAS,23,68,17,51,33.1,114.6,3.4,10.2,15,1.1,20.3,0.3,7.8,13.5,9.7,10.1,39.5,0.086
Domantas Sabonis,SAC,28,82,46,36,35.7,115.2,10.1,29.5,41.3,0.9,15.5,0.6,21.6,12,7.6,8.8,36.6,0.086
Dereon Seabron,NOP,24,6,3,3,9.2,92.5,1,8.2,12.5,0.3,33.3,0.2,16.7,4,2.2,1.8,8.7,0.086
Dorian Finney-Smith,BKN,31,68,28,40,28.4,113.2,3.1,10.7,15.9,0.8,20.8,0.6,19.3,8.6,8,8.4,29.1,0.085
Nicolas Batum,PHI,35,60,36,24,25.5,111.9,3,11.5,17.5,0.8,18.9,0.6,17.9,8,7.2,7.5,27.1,0.085
Stephen Curry,GSW,36,74,43,31,32.7,114.7,4,11.6,16.9,0.7,16.1,0.4,12.6,12.2,8.8,11,34.2,0.085
Kelly Oubre Jr.,PHI,28,68,40,28,30.2,114,3.6,12.1,18.3,1.1,21.2,0.7,18.4,9,8.8,10,30.6,0.085
Zach LaVine,CHI,29,25,10,15,34.9,115.3,4.8,13.4,20.9,0.8,16.5,0.3,10.3,9.8,11.2,9.8,30.7,0.085
Christian Braun,DEN,23,82,57,25,20.2,109.3,2.8,12.6,19.5,0.5,17.1,0.4,15.8,6.8,6.3,4.8,20,0.084
Reggie Jackson,DEN,34,82,57,25,22.2,110.6,1.5,6.3,9.5,0.5,17,0.1,5.9,7.8,6.3,5.8,22.3,0.084
Jalen Johnson,ATL,22,56,27,29,33.7,115.2,7.4,21.1,31.2,1.2,22,0.8,24,11.2,9.5,12.6,36.6,0.084
Ivica Zubac,LAC,27,68,42,26,26.4,112.4,6.3,23.5,33.6,0.3,7.7,1.2,47.4,8.2,7.1,7.4,24.9,0.084
Jarred Vanderbilt,LAL,25,29,14,15,20,109.4,3.3,16.4,24.1,1.2,29.5,0.2,8.1,7.8,5.9,7,19.9,0.084
Kaiser Gates,NOP,27,1,0,1,7.4,88.2,1,9.1,20,0,0,0,0,3,4,0,6,0.083
Scotty Pippen Jr.,MEM,23,21,5,16,25.1,112.2,2.1,8.8,13.2,1.7,33,0.5,14.9,10.1,6.4,10.1,24,0.083
Coby White,CHI,24,79,37,42,36.5,115.8,4,11,16.2,0.7,12.5,0.2,6.8,11.5,10.4,9.8,34.5,0.083
Desmond Bane,MEM,26,42,14,28,34.4,115.4,3.5,10.4,15.3,1,18.8,0.5,12.4,13.5,9.9,10.9,32.3,0.083
Nic Claxton,BKN,25,71,27,44,29.8,114.1,7.2,23.9,35.9,0.6,16,2.1,57.5,9.3,8.5,10.6,29.8,0.083
Lamar Stevens,MEM,26,38,22,16,14.7,104,2.4,14.8,23.4,0.6,21.9,0.6,30.1,5.9,4.2,4.2,12.9,0.082
Norman Powell,LAC,31,76,48,28,26.2,113,2.4,8.5,13,0.6,13.6,0.3,9.6,8.7,7.8,8.1,27,0.082
Quentin Grimes,DET,24,51,32,19,20.1,109.1,1.7,8,11.9,0.7,24,0.1,8,6.1,5.7,6.2,20.4,0.082
Monté Morris,MIN,29,33,21,12,14.4,104.1,1.5,10.5,14.7,0.6,22.6,0.3,13.2,4,3.2,5.1,14.8,0.082
James Harden,LAC,34,72,46,26,34.3,115.2,4.7,13.4,20.1,1.1,19.1,0.8,22.1,10.5,9.4,9.8,34.8,0.082
Isaiah Stewart,DET,23,46,9,37,30.9,114.5,5,16.1,22.8,0.4,9.6,0.8,24.7,12.7,8.7,8.2,34.3,0.081
Cason Wallace,OKC,20,82,57,25,20.6,110,1.6,7.7,12.1,0.9,22.4,0.5,16.3,6.8,6.7,4.9,21.2,0.081
Bogdan Bogdanovi?,ATL,31,79,35,44,30.4,114.4,2.8,9.2,13.4,1.2,24.9,0.3,12.5,9.9,7.7,9.9,31.6,0.081
Maxi Kleber,DAL,32,43,27,16,20.3,109.9,2.6,12.5,17.9,0.4,15.3,0.7,38,6.6,5.1,5.8,20.5,0.081
Javonte Green,CHI,30,9,5,4,25.6,112.8,5.2,21.9,29.9,1.1,24.4,0.9,40,7.9,6,7.3,25.8,0.08
Ashton Hagans,POR,24,19,3,16,16.6,106.5,1.6,10.1,16,0.6,23.4,0.5,25.7,6.2,4.2,4.5,14.9,0.08
Scottie Barnes,TOR,22,60,22,38,34.9,115.8,5.9,16.7,25.1,1.3,22.8,1.5,38.1,11.4,10.8,9,38.8,0.08
Donte DiVincenzo,NYK,27,81,50,31,29.1,114.2,2.9,10.2,15.1,1.3,27.9,0.4,17.3,9.2,7.6,8.5,28.7,0.079
DeJon Jarreau,MEM,26,9,2,7,16.6,107.5,4,23.8,32.4,0.7,22.2,0.2,14.3,5.1,3.4,6.3,14.4,0.079
Immanuel Quickley,TOR,25,68,28,40,29.2,114.2,3.6,12,17.8,0.7,16.1,0.1,5.5,8.9,8.3,7.9,30.2,0.079
Nikola Vu?evi?,CHI,33,76,36,40,34.3,115.7,7.8,22.9,33.9,0.7,12.9,0.8,25.2,11.1,9.7,9.5,32.6,0.079
Jake LaRavia,MEM,22,35,8,27,23,111.9,2.2,9.3,14.5,0.8,20.9,0.3,11.8,10.1,7.1,7.7,22.1,0.078
Pascal Siakam,IND,30,80,38,42,33.2,115.3,5.3,15.9,23.3,0.8,16.8,0.3,9.1,10.2,9.2,8.9,37.8,0.078
Rui Hachimura,LAL,26,68,40,28,26.8,113.5,3.5,12.1,17.7,0.6,15.2,0.4,12.3,8.8,8.1,8.2,28.9,0.078
Derrick Rose,MEM,35,24,6,18,16.6,107.7,1.6,8.9,13.3,0.3,13.1,0.1,4.3,5.5,5.8,3.5,16.3,0.078
Deandre Ayton,POR,25,55,14,41,32.4,115.3,7.9,25,37.4,1,20,0.8,27.5,13,9,11,36.3,0.078
Dyson Daniels,NOP,21,61,34,27,22.3,111.7,2.9,12.6,19,1.4,34.1,0.4,20.2,7.3,6.4,5.9,21.5,0.078
Trey Lyles,SAC,28,58,33,25,20,110.2,3.4,16.6,24,0.3,11.5,0.3,16.2,6.7,4.8,5.1,18.9,0.078
Ausar Thompson,DET,21,63,10,53,25.1,113.1,4.3,17.3,25.2,1.1,31.8,0.9,33.1,9.8,6.9,7.7,26.3,0.077
Derrick Jones Jr.,DAL,27,76,47,29,23.5,112.3,2.2,8.9,13.5,0.7,20.2,0.7,24.4,7.6,6.8,7.9,24.9,0.077
Ben Simmons,BKN,27,15,7,8,23.9,113,5.9,24.1,33.5,0.8,22.2,0.6,26.5,8.1,5.7,8.3,25.5,0.077
Jordan McLaughlin,MIN,28,56,35,21,11.2,100.1,1,8.7,12.4,0.6,26.9,0.1,10.3,3,2.6,2.8,9.9,0.076
Malcolm Brogdon,POR,31,39,15,24,28.7,114.5,3.1,10.8,16.7,0.7,15.7,0.2,7,11,8.8,9.1,33.4,0.076
Kevin Love,MIA,35,55,31,24,16.8,108.2,5.1,29.5,43.5,0.3,14.3,0.2,21.3,5.5,3.7,4,16.6,0.076
Aaron Holiday,HOU,27,78,39,39,16.3,107.6,1.3,7.5,10.9,0.5,19.5,0.1,5,5.2,4.7,4,16.2,0.076
Matt Hurt,MEM,24,8,2,6,14.2,104.8,0.9,6,10,0.4,16.7,0.4,25,6.1,5.8,2.8,14.8,0.076
Peyton Watson,DEN,21,80,56,24,18.6,109.7,2.5,12.1,19.1,0.5,20.5,1.1,40.2,6.8,6,4.9,19,0.075
Dennis Smith Jr.,BKN,26,56,19,37,18.9,109.9,2,10.8,16.6,1.2,37.6,0.2,13.3,5.9,5.2,4.9,17.6,0.075
Danté Exum,DAL,28,55,36,19,19.8,110.5,2.3,10.8,16,0.4,15.8,0.1,4.5,5.2,5.6,5.8,19.9,0.075
Xavier Tillman,BOS,25,54,30,24,18,109.4,2.6,14.9,22.5,0.9,27.1,0.8,34.1,6.3,5.1,5.4,18.3,0.074
Dennis Schröder,BKN,30,80,30,50,31.1,115.4,2.5,8.2,12.1,0.8,18.3,0.2,7.1,9.7,9,9.3,33.1,0.074
Josh Richardson,MIA,30,43,24,19,25.6,113.7,2.4,9.4,14,0.6,15.1,0.3,21.5,8.9,7.3,6.1,25.9,0.074
Austin Reaves,LAL,26,82,47,35,32.1,115.6,3.6,10.7,15.7,0.8,17.5,0.3,8.2,11.1,9.4,10.9,34,0.074
Jordan Goodwin,MEM,25,57,30,27,18.5,109.7,2.9,15.1,23.1,0.8,25.3,0.3,12.3,7,4.7,5.1,18.7,0.074
Shaedon Sharpe,POR,21,32,8,24,33.1,116,3.7,11.6,18.6,0.9,15.9,0.4,12.4,12.2,10.3,11.5,39.2,0.074
Ayo Dosunmu,CHI,24,76,37,39,29.1,114.9,2.1,7.2,10.8,0.9,19.9,0.5,15.8,9.4,8.4,8,27.7,0.074
Ryan Rollins,MIL,21,13,1,12,6,83.4,0.8,13.3,22,0.8,34.5,0.2,18.8,1.5,1.4,1.4,4.2,0.074
Jeremy Sochan,SAS,21,74,18,56,29.6,115,4.6,15.3,22.3,0.8,19,0.5,13.7,11.9,8.3,9,34.6,0.073
Jock Landale,HOU,28,56,28,28,13.6,105.3,1.5,10.2,15.1,0.4,15.7,0.6,37.5,4.7,4.1,3.8,13.4,0.073
Anthony Black,ORL,20,69,39,30,16.9,108.9,1.5,9.3,13.6,0.5,18,0.3,13.7,6.6,4,5.8,17.4,0.073
Russell Westbrook,LAC,35,68,45,23,22.5,112.8,3.7,15.4,23.2,1.1,28.2,0.3,15.1,7.4,7.1,8,24.3,0.073
Kenrich Williams,OKC,29,69,49,20,14.9,106.7,2.1,14,20.9,0.6,19.4,0.1,6.7,4.9,4.3,3.8,14.4,0.073
Miles McBride,NYK,23,68,42,26,19.5,110.6,1,5.3,8,0.7,24,0.1,6.4,6.3,5,4.9,18.3,0.073
Keon Ellis,SAC,24,57,33,24,17.2,109,1.6,9.4,13.6,0.9,31.3,0.5,28.2,5.4,3.6,3.8,17.1,0.072
Kris Murray,POR,23,62,12,50,21.7,112.1,2.2,10.7,16,0.9,25,0.3,18.8,8.9,5.7,7.9,22.1,0.072
Jakob Pöltl,TOR,28,50,21,29,26.4,114.2,5.7,21.4,30.9,0.7,16.7,1.5,53.1,8.5,7.2,7.4,27.8,0.072
Precious Achiuwa,NYK,24,74,40,34,21.9,112.3,4,18.2,27.7,0.6,18.5,0.9,40.5,7.4,6.2,6.3,22,0.072
Matt Ryan,NOP,27,28,14,14,13.9,106.5,1.2,7.9,12.5,0.2,9.8,0,2.6,5.7,4.7,4.1,15,0.072
Evan Fournier,DET,31,32,8,24,18.1,109.9,1.7,8.8,13.3,0.9,27.1,0.2,13.2,7.7,5.3,5.3,19.4,0.071
Khris Middleton,MIL,32,55,31,24,27,114.6,3.9,13.4,19.7,0.9,27.4,0.3,8.8,8.1,8.3,7.7,28.3,0.071
Danuel House Jr.,PHI,31,34,21,13,15,107.7,1.2,8.1,12.2,0.4,13.8,0.1,10.6,4.2,4.2,6.1,15.1,0.071
John Konchar,MEM,28,55,18,37,21.3,112.2,3.4,16.4,24.3,0.9,25.8,0.9,29.7,8.5,5.7,6.1,21.9,0.07
P.J. Washington,DAL,25,73,30,43,30.4,115.6,4.5,14.7,21.6,1,21.8,0.8,22.3,10.2,8.6,8.9,31.6,0.07
Devonte' Graham,SAS,29,23,8,15,13.6,105.6,1.3,9.5,13.8,0.4,22,0.1,5,4.5,3.7,3.9,14.5,0.07
Tyrese Haliburton,IND,24,69,40,29,32.2,116.2,3.4,10.2,15.5,1.2,24.9,0.7,16.2,9.8,10.2,9.3,40.6,0.069
Cameron Johnson,BKN,28,58,21,37,27.6,114.9,3.4,12.4,18.4,0.8,22.4,0.3,8.5,7.9,8.2,8.7,27.4,0.069
Day'Ron Sharpe,BKN,22,61,25,36,15.1,108,3.7,23.5,35.1,0.4,17.1,0.7,45.4,5.1,3.9,4.4,14.2,0.069
Andrew Nembhard,IND,24,68,41,27,25,114,1.5,6,9.3,0.9,23,0.1,2.8,8,7.4,6.8,28.4,0.069
Aaron Nesmith,IND,24,72,41,31,27.7,115,2.9,10.3,15.8,0.9,21,0.7,19.1,8.6,8.4,6.8,32,0.069
Christian Wood,LAL,28,50,28,22,17.4,109.9,4.3,22.6,33,0.3,13.1,0.7,30,6.6,5.3,6,17.1,0.069
Santi Aldama,MEM,23,61,23,38,26.5,114.6,4.6,17.3,27.1,0.7,16.7,0.9,25,10,7.8,8.2,26.1,0.069
Jonas Valan?i?nas,NOP,32,82,49,33,23.5,113.4,6.5,27.2,38.2,0.4,11,0.8,33.7,7.3,6.1,6.7,22.4,0.068
Timmy Allen,MEM,24,5,0,5,25.1,114.4,2.6,11.3,16,0.8,19,0,0,8.8,4.8,7.6,24,0.068
Spencer Dinwiddie,LAL,31,76,38,38,28.3,115.2,2.3,7.7,11.4,0.7,19.6,0.3,8.5,8.4,8.3,8.7,29.9,0.067
Moses Moody,GSW,22,66,38,28,17.5,110.2,2,10.8,15.7,0.6,23.7,0.4,22.6,6,4.5,5.7,17.1,0.067
Ish Wainright,PHX,29,11,2,9,5.7,84.8,1,16.9,23.9,0.4,30.8,0.1,16.7,1.8,0.5,1.8,3.1,0.067
Gary Payton II,GSW,31,44,27,17,15.5,108.9,1.5,9.7,14.2,0.9,27.3,0.4,24.3,5.4,3.7,4.6,15.2,0.067
Cam Whitmore,HOU,19,47,19,28,18.7,111.6,2.9,14.8,22.1,0.6,18.5,0.4,17.7,6.1,5.3,5.5,19.1,0.067
Markquis Nowell,TOR,24,1,0,1,3.5,62.5,0,0,0,1,50,0,0,0,0,0,2,0.067
Ziaire Williams,MEM,22,51,20,31,20.3,112.4,2.8,13.8,21.5,0.7,19.7,0.2,7.2,7.8,6.4,6.6,21.3,0.067
Simone Fontecchio,DET,28,66,29,37,24.9,114.5,2.8,10.7,15.4,0.7,17.1,0.3,12.8,8.7,6.5,9.2,27.2,0.067
Cam Reddish,LAL,24,48,27,21,20.5,112.5,1.5,7.1,10.5,1,25.3,0.3,12.5,8.3,6.4,6.8,21.8,0.066
Harrison Barnes,SAC,32,82,46,36,29,115.7,2.2,7.9,11.1,0.7,14.1,0.1,7.2,9.7,6.1,7.1,30.5,0.066
Adama Sanogo,CHI,22,9,3,6,7.3,93.6,1.9,26.6,36.2,0.1,5.9,0,0,2.8,1.8,1.9,5.8,0.066
Joe Ingles,ORL,36,68,42,26,17.2,110.3,1.8,11.1,17,0.6,21.7,0.1,4.2,5.7,4.6,5,17.2,0.066
Jeff Dowtin Jr.,PHI,27,12,7,5,11.8,104.1,1.4,11.4,18.5,0.6,26.9,0.1,5,3.8,3.6,2.6,11,0.066
Seth Curry,CHA,33,44,25,19,14,107.5,1.1,7.8,12,0.5,20.6,0.1,9.7,4.8,4.3,4.4,14.2,0.066
Moritz Wagner,ORL,27,80,46,34,17.7,110.8,2.9,16.8,25.7,0.5,16.7,0.3,15,6.2,4.4,5.5,17.4,0.066
Jamaree Bouyea,SAS,25,9,2,7,10.5,101.5,1.8,17,25.8,0.1,7.1,0,0,3,2.6,3.3,9.1,0.066
Delon Wright,MIA,32,47,16,31,15.8,109.7,1.4,8.9,13.4,1.1,40.6,0.2,17.7,5.6,4.6,4.2,16.7,0.066
Jahmi'us Ramsey,TOR,23,7,0,7,17.3,110.8,2.6,13,23.1,1,28,0,0,7.3,6.1,7.7,19.7,0.066
Deni Avdija,WAS,23,75,14,61,30.1,116.2,6.1,19.2,29.3,0.8,16.9,0.5,16.3,11.1,10.2,9.5,37.2,0.066
Klay Thompson,GSW,34,77,41,36,29.7,116.1,2.8,9.3,13.8,0.6,16.1,0.5,17.2,10.5,8.3,9.1,32.1,0.065
Malik Monk,SAC,26,72,42,30,26,115.1,2.6,10.1,14.6,0.6,17.2,0.5,22.9,9,6.4,6.3,26.3,0.065
Lauri Markkanen,UTA,27,55,22,33,33.1,116.9,5.9,17.6,25.8,0.9,19.5,0.5,13.6,12.8,9.4,12.1,35.9,0.065
Tre Mann,CHA,23,41,21,20,24.1,114.1,3.1,13.2,20.6,1.2,31.3,0.1,3.3,7.8,7.6,6.4,25.2,0.065
Trey Jemison,MEM,24,25,5,20,23,113.8,2.8,13.1,19,0.5,11.9,1.1,51.9,10.7,5.4,8.4,23.9,0.065
Keldon Johnson,SAS,24,69,17,52,29.5,116.1,4.1,13.5,19.8,0.7,17.5,0.3,8.4,10.8,9.1,9.1,33.6,0.065
Paul Reed,PHI,25,82,47,35,19.4,112,3.6,19.4,29.3,0.8,22.8,1,41.4,5.5,5.7,6,20.5,0.064
Patrick Williams,CHI,22,43,19,24,27.3,115.5,2.8,10.5,15.2,0.9,22.3,0.8,29.7,8.9,7.3,8.4,26.5,0.064
Patrick Beverley,MIL,35,73,43,30,20,112.2,2.6,12.5,19.3,0.6,17.4,0.4,18.1,5.9,5.9,5.5,19.2,0.064
Cam Thomas,BKN,22,66,23,43,31.4,116.7,2.8,8.9,13.5,0.7,16,0.2,7.2,10.2,9,11.2,33,0.064
Sandro Mamukelashvili,SAS,25,46,12,34,9.8,101.3,2.2,20.9,29.5,0.2,10.8,0.3,21.8,3.5,2.9,2.4,9.8,0.064
Justin Holiday,DEN,35,58,38,20,14.9,109.1,1.1,6.9,10.5,0.6,24.2,0.2,8.1,5.1,4.2,4.7,15.6,0.063
Myles Turner,IND,28,77,45,32,27,115.5,5.5,19.8,29.1,0.5,13.5,1.9,53.3,8.3,7.5,7,32.6,0.063
Georges Niang,CLE,31,82,48,34,22.3,113.9,3.1,13.8,20.6,0.4,12.1,0.2,10.2,8,6.4,6.8,21.9,0.063
Terance Mann,LAC,27,75,47,28,25,114.8,2.2,8.8,12.8,0.6,15.5,0.2,8.8,8.6,7,7.3,25.7,0.063
JD Davison,BOS,21,8,8,0,4.9,83.1,1,16,22.2,0.1,10,0.1,10,1,1.8,2.6,5.5,0.063
Terry Rozier,MIA,30,61,22,39,33.4,117.2,3.5,11,16,1,21,0.3,11.9,10.9,9.5,10.1,34.2,0.063
Luke Kennard,MEM,28,39,15,24,25.6,115.2,2.6,10.5,16.3,0.5,12.1,0.1,1.5,9.9,8.1,9,27.3,0.063
RJ Barrett,TOR,24,58,26,32,31.7,116.9,4.5,14,21.3,0.5,10.7,0.4,13.4,10.7,9.8,10.6,35.1,0.062
Kobe Bufkin,ATL,20,17,8,9,11.5,105,1.6,13,19.6,0.4,25,0.3,22.7,4.1,2.6,2.8,11.6,0.062
Aaron Wiggins,OKC,25,78,55,23,15.7,110,1.6,9.5,15.2,0.7,24.5,0.2,10.9,4.7,5.6,3.7,15.6,0.062
Sam Merrill,CLE,28,61,36,25,17.5,111.1,1.6,9.1,13.2,0.3,13.8,0.1,4.4,6.2,4.2,5.3,17,0.062
Luke Kornet,BOS,28,63,48,15,15.6,109.7,2.3,14.1,20.3,0.4,18.3,1,52.6,4.4,4.2,4.2,14.7,0.062
Alex Len,SAC,31,48,24,24,9.3,100.8,1.7,17.9,25.8,0.2,15.3,0.7,61.1,2.5,1.9,2,7.6,0.062
Jevon Carter,CHI,28,72,35,37,13.9,108.6,0.7,4.9,7.4,0.5,18.2,0.2,14.7,3.8,4.1,3.7,12.4,0.062
Kevin Huerter,SAC,25,64,37,27,24.4,115,2.9,12.4,17.4,0.7,17.7,0.4,18.3,7.8,5.7,5.9,26.8,0.061
Tim Hardaway Jr.,DAL,32,79,49,30,26.8,115.8,2.9,10.6,16.4,0.5,14.3,0.1,3.1,8.1,8.8,8.4,29.3,0.061
Buddy Hield,PHI,31,84,46,38,25.7,115.7,2.5,9.8,15.1,0.8,21,0.5,15.3,8.6,7.5,7.7,30,0.06
Jerami Grant,POR,30,54,17,37,33.9,117.5,2.9,8.7,13.7,0.8,16.4,0.6,19.3,12.4,10.1,11.5,39.5,0.06
Clint Capela,ATL,30,73,33,40,25.8,115.6,6,23.2,33.5,0.6,15,1.5,56.4,8.5,7.2,9.4,28.5,0.06
Lonnie Walker IV,BKN,25,58,23,35,17.4,111.8,2,11,16.5,0.6,19.6,0.3,20.8,6.4,5.2,5.6,17.4,0.06
Jaylen Nowell,DET,24,13,3,10,16.4,111,1.4,8.2,13.4,0.3,10.3,0.2,6.7,4,5.6,4.1,17.2,0.059
Dexter Dennis,DAL,25,4,1,3,7.5,100,2,21.1,32,0,0,0.3,25,3.8,3.3,5.8,12,0.059
Goga Bitadze,ORL,24,62,34,28,15.4,110.3,2.9,18.7,27.1,0.5,21.1,1.2,53.7,5.1,4.2,4.5,15.9,0.059
Svi Mykhailiuk,BOS,27,41,32,9,10.1,103.4,1,9.3,13.7,0.3,14.7,0,2.2,3.4,2.4,2.6,9.8,0.059
Jack White,MEM,26,4,0,4,15.9,111.1,2,13.6,20.5,1,33.3,0.3,14.3,4.8,2.5,6.8,17.5,0.059
Oshae Brissett,BOS,26,55,46,9,11.5,106.4,1.8,14.8,21.5,0.3,19.6,0.1,11.3,3.4,3,3.5,12.4,0.059
Jaylin Williams,OKC,22,69,48,21,13,107.9,2.9,21.6,32.5,0.4,17.4,0.4,29.3,4.4,3.6,3.1,12.1,0.059
Jae Crowder,MIL,33,50,25,25,23.1,114.9,2.6,11.3,16.4,0.8,21.7,0.2,8.6,6.7,5.5,7.2,24.9,0.059
Grant Williams,CHA,25,76,34,42,28,116.6,3.1,11,16.8,0.6,14.6,0.5,20,9.4,8.4,8.9,31.4,0.058
Julian Champagnie,SAS,23,74,19,55,19.8,113.5,2.2,11.1,15.9,0.6,20.2,0.6,18.4,7.8,5.4,5.9,23.1,0.058
Andrew Wiggins,GSW,29,71,38,33,27,116.3,3,10.5,15.8,0.6,17.5,0.6,22.9,10.4,8.3,8.4,28.2,0.058
Mark Williams,CHA,22,19,7,12,26.8,116.4,5.7,20.9,31.1,0.8,20.8,1.1,42.6,9.4,8.9,8.9,30.6,0.057
Matisse Thybulle,POR,27,65,18,47,22.9,115.1,1.6,7.4,12.1,1.7,40.1,0.8,32.5,9,7.5,8.3,26,0.057
Cade Cunningham,DET,22,62,9,53,33.5,117.8,3.8,11.5,16.3,0.9,20.3,0.4,10.6,14,9,9.5,37.1,0.057
Josh Okogie,PHX,25,60,37,23,16,111.5,1.3,8.1,12.4,0.8,28.9,0.4,20.5,6.5,5.2,4.9,17,0.057
Jalen Duren,DET,20,61,13,48,29.1,117,8.5,28.5,39.8,0.5,15,0.8,26,12.1,7.9,8.4,32.7,0.056
Noah Clowney,BKN,19,23,10,13,16.1,111.7,2.4,14.6,22.8,0.3,14.5,0.7,34.8,5.9,6,6.4,15.8,0.056
Taurean Prince,LAL,30,78,44,34,27,116.5,2.7,9.5,14.1,0.7,18.4,0.4,15,9.3,8.4,10,29.5,0.056
Chimezie Metu,DET,27,51,24,27,16.8,112,3,17.7,26.7,0.8,29.5,0.3,20.3,6.6,4.8,5.2,17.5,0.056
Trevelin Queen,ORL,27,14,5,9,11.8,107.6,1.2,10.1,15.9,0.5,23.3,0.4,27.8,4.8,3.6,2.9,13.9,0.055
Max Christie,LAL,21,67,38,29,14.1,110.3,1.9,12.2,17.5,0.3,15.7,0.3,15.3,5.4,4.3,5.1,14.8,0.055
Daniel Gafford,DAL,25,74,30,44,24.5,116,5,18.6,29.3,0.9,22.8,2.1,57.7,7.8,8.7,7.8,27.2,0.055
Otto Porter Jr.,TOR,31,15,6,9,11.6,107.5,1.5,13,18.4,0.3,14.3,0.3,25,3.9,3.2,3.3,10.9,0.055
